dteday,season,year,month,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category
2011-01-01,Spring,2011,Jan,0,Sunday,Misty,0.344167,0.363625,80.58330000000001,0.160446,331,654,985,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,0,Sunday,Misty,0.363478,0.35373899999999997,69.6087,0.24853899999999998,131,670,801,weekend,Terlalu Lembab
2011-01-03,Spring,2011,Jan,0,Monday,Clear,0.196364,0.189405,43.7273,0.248309,120,1229,1349,workingday,Terlalu kering
2011-01-04,Spring,2011,Jan,0,Monday,Clear,0.2,0.21212199999999998,59.0435,0.160296,108,1454,1562,workingday,Ideal
2011-01-05,Spring,2011,Jan,0,Monday,Clear,0.22695700000000002,0.22926999999999997,43.695699999999995,0.1869,82,1518,1600,workingday,Terlalu kering
2011-01-06,Spring,2011,Jan,0,Monday,Clear,0.204348,0.23320900000000003,51.8261,0.0895652,88,1518,1606,workingday,Ideal
2011-01-07,Spring,2011,Jan,0,Monday,Misty,0.196522,0.208839,49.869600000000005,0.168726,148,1362,1510,workingday,Ideal
2011-01-08,Spring,2011,Jan,0,Sunday,Misty,0.165,0.162254,53.5833,0.266804,68,891,959,weekend,Ideal
2011-01-09,Spring,2011,Jan,0,Sunday,Clear,0.13833299999999998,0.116175,43.416700000000006,0.36195,54,768,822,weekend,Terlalu kering
2011-01-10,Spring,2011,Jan,0,Monday,Clear,0.150833,0.15088800000000002,48.2917,0.22326700000000002,41,1280,1321,workingday,Ideal
2011-01-11,Spring,2011,Jan,0,Monday,Misty,0.16909100000000002,0.19146400000000002,68.63640000000001,0.12213199999999999,43,1220,1263,workingday,Terlalu Lembab
2011-01-12,Spring,2011,Jan,0,Monday,Clear,0.172727,0.160473,59.954499999999996,0.304627,25,1137,1162,workingday,Ideal
2011-01-13,Spring,2011,Jan,0,Monday,Clear,0.165,0.150883,47.041700000000006,0.301,38,1368,1406,workingday,Ideal
2011-01-14,Spring,2011,Jan,0,Monday,Clear,0.16087,0.188413,53.7826,0.126548,54,1367,1421,workingday,Ideal
2011-01-15,Spring,2011,Jan,0,Sunday,Misty,0.23333299999999998,0.248112,49.875,0.15796300000000002,222,1026,1248,weekend,Ideal
2011-01-16,Spring,2011,Jan,0,Sunday,Clear,0.231667,0.234217,48.375,0.188433,251,953,1204,weekend,Ideal
2011-01-17,Spring,2011,Jan,1,Sunday,Misty,0.175833,0.176771,53.75,0.194017,117,883,1000,weekend,Ideal
2011-01-18,Spring,2011,Jan,0,Monday,Misty,0.216667,0.23233299999999998,86.16669999999999,0.146775,9,674,683,workingday,Terlalu Lembab
2011-01-19,Spring,2011,Jan,0,Monday,Misty,0.292174,0.29842199999999997,74.1739,0.208317,78,1572,1650,workingday,Terlalu Lembab
2011-01-20,Spring,2011,Jan,0,Monday,Misty,0.261667,0.25505,53.833299999999994,0.195904,83,1844,1927,workingday,Ideal
2011-01-21,Spring,2011,Jan,0,Monday,Clear,0.1775,0.157833,45.7083,0.353242,75,1468,1543,workingday,Ideal
2011-01-22,Spring,2011,Jan,0,Sunday,Clear,0.0591304,0.0790696,40.0,0.17197,93,888,981,weekend,Terlalu kering
2011-01-23,Spring,2011,Jan,0,Sunday,Clear,0.0965217,0.09883910000000001,43.6522,0.2466,150,836,986,weekend,Terlalu kering
2011-01-24,Spring,2011,Jan,0,Monday,Clear,0.0973913,0.11793,49.1739,0.15833,86,1330,1416,workingday,Ideal
2011-01-25,Spring,2011,Jan,0,Monday,Misty,0.223478,0.234526,61.695699999999995,0.129796,186,1799,1985,workingday,Ideal
2011-01-26,Spring,2011,Jan,0,Monday,Light_rainsnow,0.2175,0.2036,86.25,0.29385,34,472,506,workingday,Terlalu Lembab
2011-01-27,Spring,2011,Jan,0,Monday,Clear,0.195,0.2197,68.75,0.113837,15,416,431,workingday,Terlalu Lembab
2011-01-28,Spring,2011,Jan,0,Monday,Misty,0.203478,0.22331700000000002,79.30430000000001,0.1233,38,1129,1167,workingday,Terlalu Lembab
2011-01-29,Spring,2011,Jan,0,Sunday,Clear,0.196522,0.212126,65.1739,0.14536500000000002,123,975,1098,weekend,Terlalu Lembab
2011-01-30,Spring,2011,Jan,0,Sunday,Clear,0.216522,0.250322,72.2174,0.0739826,140,956,1096,weekend,Terlalu Lembab
2011-01-31,Spring,2011,Jan,0,Monday,Misty,0.180833,0.18625,60.375,0.187192,42,1459,1501,workingday,Ideal
2011-02-01,Spring,2011,Feb,0,Monday,Misty,0.192174,0.23453000000000002,82.9565,0.053212999999999996,47,1313,1360,workingday,Terlalu Lembab
2011-02-02,Spring,2011,Feb,0,Monday,Misty,0.26,0.254417,77.5417,0.264308,72,1454,1526,workingday,Terlalu Lembab
2011-02-03,Spring,2011,Feb,0,Monday,Clear,0.18695699999999998,0.177878,43.7826,0.277752,61,1489,1550,workingday,Terlalu kering
2011-02-04,Spring,2011,Feb,0,Monday,Misty,0.211304,0.22858699999999998,58.521699999999996,0.127839,88,1620,1708,workingday,Ideal
2011-02-05,Spring,2011,Feb,0,Sunday,Misty,0.23333299999999998,0.243058,92.91669999999999,0.161079,100,905,1005,weekend,Terlalu Lembab
2011-02-06,Spring,2011,Feb,0,Sunday,Clear,0.285833,0.291671,56.833299999999994,0.1418,354,1269,1623,weekend,Ideal
2011-02-07,Spring,2011,Feb,0,Monday,Clear,0.271667,0.303658,73.83330000000001,0.045408300000000006,120,1592,1712,workingday,Terlalu Lembab
2011-02-08,Spring,2011,Feb,0,Monday,Clear,0.220833,0.198246,53.7917,0.36195,64,1466,1530,workingday,Ideal
2011-02-09,Spring,2011,Feb,0,Monday,Misty,0.134783,0.144283,49.4783,0.188839,53,1552,1605,workingday,Ideal
2011-02-10,Spring,2011,Feb,0,Monday,Clear,0.144348,0.14954800000000001,43.7391,0.221935,47,1491,1538,workingday,Terlalu kering
2011-02-11,Spring,2011,Feb,0,Monday,Clear,0.189091,0.213509,50.6364,0.10855,149,1597,1746,workingday,Ideal
2011-02-12,Spring,2011,Feb,0,Sunday,Clear,0.2225,0.232954,54.4167,0.20336700000000002,288,1184,1472,weekend,Ideal
