dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category
2011-01-01,Spring,2011,Jan,0,0,Sunday,Clear,0.24,0.2879,81.0,0.0,3,13,16,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,1,0,Sunday,Clear,0.22,0.2727,80.0,0.0,8,32,40,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,2,0,Sunday,Clear,0.22,0.2727,80.0,0.0,5,27,32,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,3,0,Sunday,Clear,0.24,0.2879,75.0,0.0,3,10,13,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,4,0,Sunday,Clear,0.24,0.2879,75.0,0.0,0,1,1,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,5,0,Sunday,Misty,0.24,0.2576,75.0,0.0896,0,1,1,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,6,0,Sunday,Clear,0.22,0.2727,80.0,0.0,2,0,2,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,7,0,Sunday,Clear,0.2,0.2576,86.0,0.0,1,2,3,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,8,0,Sunday,Clear,0.24,0.2879,75.0,0.0,1,7,8,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,9,0,Sunday,Clear,0.32,0.3485,76.0,0.0,8,6,14,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,10,0,Sunday,Clear,0.38,0.3939,76.0,0.2537,12,24,36,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,11,0,Sunday,Clear,0.36,0.3333,81.0,0.2836,26,30,56,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,12,0,Sunday,Clear,0.42,0.4242,77.0,0.2836,29,55,84,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,13,0,Sunday,Misty,0.46,0.4545,72.0,0.2985,47,47,94,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,14,0,Sunday,Misty,0.46,0.4545,72.0,0.2836,35,71,106,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,15,0,Sunday,Misty,0.44,0.4394,77.0,0.2985,40,70,110,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,16,0,Sunday,Misty,0.42,0.4242,82.0,0.2985,41,52,93,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,17,0,Sunday,Misty,0.44,0.4394,82.0,0.2836,15,52,67,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,18,0,Sunday,Light_rainsnow,0.42,0.4242,88.0,0.2537,9,26,35,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,19,0,Sunday,Light_rainsnow,0.42,0.4242,88.0,0.2537,6,31,37,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,20,0,Sunday,Misty,0.4,0.4091,87.0,0.2537,11,25,36,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,21,0,Sunday,Misty,0.4,0.4091,87.0,0.19399999999999998,3,31,34,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,22,0,Sunday,Misty,0.4,0.4091,94.0,0.2239,11,17,28,weekend,Terlalu Lembab
2011-01-01,Spring,2011,Jan,23,0,Sunday,Misty,0.46,0.4545,88.0,0.2985,15,24,39,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,0,0,Sunday,Misty,0.46,0.4545,88.0,0.2985,4,13,17,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,1,0,Sunday,Misty,0.44,0.4394,94.0,0.2537,1,16,17,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,2,0,Sunday,Misty,0.42,0.4242,100.0,0.2836,1,8,9,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,3,0,Sunday,Misty,0.46,0.4545,94.0,0.19399999999999998,2,4,6,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,4,0,Sunday,Misty,0.46,0.4545,94.0,0.19399999999999998,2,1,3,weekend,Terlalu Lembab
2011-01-02,Spring,2011,Jan,6,0,Sunday,Light_rainsnow,0.42,0.4242,77.0,0.2985,0,2,2,weekend,Terlalu Lembab
